;Supplier;Market code ;COMPANY;Supplier;Product name ;Product;Sampling Date;Sampled by;Falcon CODE;Purchase;Delivered to NKUA;Delivered to Universita di Parma
1;Sklavenitis;1223831;ALPRO ;NUMIL HELLAS а.е., ;Almond milk, no sugar, no glute (roasted almond);Plant Based milk;31/10/23;Natskoulis;M8;internet shop;Miliordos, Noveber 2023, in person;Miliordos January  2024, by UPS
2;Sklavenitis;1479343;OLYMPOS;GREEK DAIRY FARMS а.е.,;Hazelnut Oat milk ;Plant Based milk;31/10/23;Natskoulis;M7;internet shop;Miliordos, Noveber 2023, in person;Miliordos January  2024, by UPS
3;Sklavenitis;1397380;Delta;DELTA FOODS а.е.;Almond milk, no gluten ;Plant Based milk;31/10/23;Natskoulis;M4;internet shop;Miliordos, Noveber 2023, in person;Miliordos January  2024, by UPS
4;Sklavenitis;1438990;OLYMPOS;GREEK DAIRY FARMS а.е.,;Almond milk, no gluten, no lactose;Plant Based milk;31/10/23;Natskoulis;M1;internet shop;Miliordos, Noveber 2023, in person;Miliordos January  2024, by UPS
5;Sklavenitis;1479354;OLYMPOS;GREEK DAIRY FARMS а.е.,;Oat milk, no sugar;Plant Based milk;31/10/23;Natskoulis;M6;internet shop;Miliordos, Noveber 2023, in person;Miliordos January  2024, by UPS
6;Sklavenitis;1433448;Delta;DELTA FOODS а.е.;Oat plus 3 seeds milk (sesame, sunflower seeds, pumpЙin seeds);Plant Based milk;31/10/23;Natskoulis;M3;internet shop;Miliordos, Noveber 2023, in person;Miliordos January  2024, by UPS
7;Sklavenitis;1507051;ALPRO ;NUMIL HELLAS а.е.,;Oat milk, no sugar;Plant Based milk;31/10/23;Natskoulis;M11;internet shop;Miliordos, Noveber 2023, in person;Miliordos January  2024, by UPS
8;Sklavenitis;1283569;ALPRO ;NUMIL HELLAS а.е.,;Oat and Almond milk ;Plant Based milk;31/10/23;Natskoulis;M10;internet shop;Miliordos, Noveber 2023, in person;Miliordos January  2024, by UPS
9;Sklavenitis;1582186;моумоу;FRIESLANDCAMPINA HELLAS S.A.,;Oat milk, no sugar;Plant Based milk;31/10/23;Natskoulis;M17;internet shop;Miliordos, Noveber 2023, in person;Miliordos January  2024, by UPS
10;Sklavenitis;1558090;Delta;DELTA FOODS а.е.;Oat plus 3 seeds milk, no sugar (hazel, almond, cashews );Plant Based milk;31/10/23;Natskoulis;M2;internet shop;Miliordos, Noveber 2023, in person;Miliordos January  2024, by UPS
